Boat Name,Sail No,Cert No,Issue Date,Cert Year,TCC,Endorsed,Dayboat,Short Handed,Non Spi TCC,Crew,DLR,LH,Beam,Draft,Headsails,Series Date,Age Date,Racing Area,SSS Base Value,STIX,AVS,Category,ValidCode
MOONSHINE,GBR4999,4023,22/04/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,118,32,24,117,B,Yes
KINDRED SPIRIT,GBR8285,4029,31/03/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
RHO,GBR8367,4031,09/01/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
RED MACAW,GBR8369,4041,19/03/2015,2015,0.98,E,,,0.97,9,226,11.55,3.64,2.08,Multiple,1987,1990,104,40,29,116,B,Yes
SPIRIT,GBR8354,4042,16/01/2015,2015,0.98,E,,,0.97,9,222,11.55,3.64,2.08,Multiple,1987,1990,104,40,29,116,B,Yes
JONDO,GBR4307,4070,22/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,109,32,24,117,B,Yes
WOOZLE HUNTER,GBR4950,4084,16/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,104,32,24,117,B,Yes
YODA,GBR1921L,4095,15/04/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
MOONSHINE IV,1740C,4096,16/03/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
CONCERTO,CO640,4122,02/04/2015,2015,0.857,E,,,0.843,7,317,9.66,2.9,1.78,Single+H/W Jib,1971,1978,101,39,33,155,A,Yes
CHORUS LINE,GBR9530,4144,23/01/2015,2015,0.887,E,,,0.879,6,233,8.56,2.82,1.78,Multiple,1978,1979,117,24,0,0,0,Yes
MADAM BUTTERFLY,GBR4497,4171,24/11/2014,2014,0.996,,,,0.981,7,248,9.95,3.4,1.89,Multiple,1986,1986,414,19,0,0,0,Yes
JOKERS WILD,IRL8151,4194,03/02/2015,2015,0.926,E,,,0.917,7,263,9.43,3.3,1.8,Multiple,1988,1989,118,29,0,0,0,Yes
VALHALLA OF ASHTON,GBR2496,4226,22/04/2015,2015,0.917,E,,,0.901,8,418,10.91,2.94,1.89,Multiple,1967,1969,114,40,33,145,A,Yes
DEVILS ADVOCATE,GBR666T,4232,02/04/2015,2015,1.062,,,,1.052,13,213,13.7,4.25,2.15,Multiple,1990,1990,101,41,0,0,0,Yes
SLOE GIN,GBR4587,4273,09/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,109,32,24,117,B,Yes
ALCHEMIST,GBR5777,4277,10/03/2015,2015,0.927,E,,,0.918,7,233,9.48,3.15,1.85,Multiple,1978,1978,101,23,0,0,0,Yes
LEGLESS AGAIN,GBR4348,4290,09/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,108,32,24,117,B,Yes
WHITE MISCHIEF,IRL4633,4291,13/04/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,118,32,24,117,B,Yes
DUELLIST,GBR4533,4303,02/02/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,105,32,24,117,B,Yes
TWO FRANK,GBR9519,4329,12/01/2015,2015,0.885,,,,0.875,6,243,8.56,2.82,1.78,Multiple,1978,1978,101,24,0,0,0,Yes
RUNNING TIDE,IRL874,4342,24/02/2015,2015,0.887,E,,,0.878,5,196,7.32,2.72,1.25,Multiple,1977,2015,118,12,0,0,0,Yes
GOOGLE-EYE,GBR3766T,4348,19/03/2015,2015,0.838,E,,,0.828,6,356,7.94,2.84,1.76,Multiple,1976,1979,101,23,0,0,0,Yes
GAUNTLET OF TAMAR,GBR8377,4385,27/02/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
WHITE KNIGHT,IRL9564,4404,09/02/2015,2015,0.889,E,,,0.881,6,237,8.56,2.82,1.78,Multiple,1978,1979,118,22,0,0,0,Yes
GREASED LIGHTNING,GBR304,4444,15/04/2015,2015,0.987,,,,0.977,9,238,11.62,3.68,2.07,Multiple,1982,1982,101,33,0,0,0,Yes
SEA-PIE,GBR4254,4450,22/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,112,32,24,117,B,Yes
